,nome,genero
1035,Michael Mann,M
1036,Bill Murray,M
1037,Ivan Reitman,M
1038,Jürgen Prochnow,M
1039,Wolfgang Petersen,M
1040,Mel Gibson,M
1041,George Miller,M
1042,John Boorman,M
1043,Warren Beatty,M
1044,George Segal,M
1045,Mark Rydell,M
1046,Ringo Starr,M
1047,Oliver Stone,M
1048,Richard Marquand,M
1049,John G. Avildsen,M
1050,Sylvester Stallone,M
1051,Albert Finney,M
1052,Jim Henson,M
1053,Frederic Forrest,M
1054,Francis Ford Coppola,M
1055,Blake Edwards,M
1056,Peter Weir,M
1057,James Cagney,M
1058,Milos Forman,M
1059,Sam Neill,M
1060,Jean-Jacques Annaud,M
1061,Jeff Bridges,M
1062,Louis Malle,M
1063,Tom Waits,M
1064,Michel Piccoli,M
1065,Pedro Almodóvar,M
1066,Vincent Cassel,M
1067,Mathieu Kassovitz,M
1068,Jonny Lee Miller,M
1069,Leonardo DiCaprio,M
1070,F. Gary Gray,M
1071,John Lasseter,M
1072,Christopher McQuarrie,M
1073,Bryan Singer,M
1074,Andrew Kevin Walker,M
1075,Kevin Spacey,M
1076,Ted Demme,M
1077,You Ge,M
1078,Sean Bean,M
1079,Chris Elliott,M
1080,Brad Dourif,M
1081,Mamoru Oshii,M
1082,David O. Russell,M
1083,James Cromwell,M
1084,Noah Baumbach,M
